"DOPLogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","PreyLengthComments"
34,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E34","Gammarus type","Unid Gammarus type",3.20,"S",,,,,"NM, NW, eye NM"
34,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E34","Corophium type","juvenile Corophium",1.40,,,,,,"NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Chironomid larvae",,3.10,"G",,,,,"NM"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Gammarus spp.",2.90,,,,,,"NI, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Gammarus spp.",2.10,,,,,,"NI, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Gammarus spp.",5.50,,,,,,"NI, NW, possible G. lacustris"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Gammarus spp.",3.40,,,,,,"NI, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Gammarus spp.",3.70,,,,,,"NI, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Gammarus spp.",6.00,"ED",,0.30,,,"NM, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Unid Gammarus type",3.20,,,,,,"NI, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Unid Gammarus type",3.20,"G",,,,,"NM, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Gammarus type","Unid Gammarus type",3.20,"G",,,,,"NM, NW"
36,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E36","Corophium type","juvenile Corophium",1.00,,,,,,"NW"
37,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E37","Gammarus type","Unid Gammarus type",3.20,"S",,,,,"NM, NW, eye NM"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",3.20,,,,,,"NI, NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",4.70,,,,,,"NI, NW, possibly G. lacustris, gravid female"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",3.40,,,,,,"NI, NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",7.00,,,,,,"NI, NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",2.20,,1.5e-04,,,,"Possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",2.70,,5.1e-04,,,,"Possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",4.20,,,,,,"NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",2.60,,2.0e-04,,,,"Possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",3.00,,,,,,"NI, NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",3.80,,,,,,"NI, NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",4.10,,,,,,"NW, possibly G. lacustris"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NM, NW"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Gammarus spp.",4.60,"ED",,0.20,,,"NM, NW"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Gammarus type","Unid Gammaroidea",3.20,"S",,,,,"NM, NW, eye NM"
38,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E38","Corophium type","juvenile Corophium",1.10,,,,,,"NW"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Gammarus spp.",3.10,,,0.20,,,"NI, NW, possibly G. lacustris"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Unid Gammarus type",3.20,,,0.20,,,"NI, NW, eye NI"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Gammarus spp.",2.90,,,0.20,,,"NI, NW, possibly G. lacustris"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Gammarus spp.",4.10,,,,,,"NI, NW, possibly G. lacustris"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Gammarus spp.",2.40,,,0.10,,,"NW, possibly G. lacustris"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Gammarus spp.",4.50,,,,,,"NI, NW"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Gammarus spp.",3.50,,,,,,"NI, NW"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Unid Gammarus type",4.20,,,0.20,,,"NI, NW, eye NI"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Unid Gammaroidea",2.70,"G",,,,,"NM, NW, eye NM"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Unid Gammaroidea",3.30,"G",,,,,"NM, NW, eye NM"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Gammarus type","Unid Gammaroidea",4.30,"G",,,,,"NM, NW, eye NM"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Corophium type","A. spinicorne",4.00,,,,3.20,"F","NW"
39,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E39","Corophium type","A. spinicorne",2.40,,,,1.50,"F","NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Gammarus spp.",3.70,,4.3e-04,,,,"Possibly G. lacustris"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","juvenile Gammarus",1.80,,,,,,"NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Gammarus spp.",2.70,,,,,,"NI, NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Gammarus spp.",2.50,,,,,,"NI, NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Gammarus spp.",4.40,,,,,,"NI, NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Gammarus spp.",2.70,"G",,,,,"~2.7 mm but NM, NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Gammarus spp.",2.70,"G",,,,,"NM, NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Gammarus type","Unid Gammarus type",3.20,"S",,,,,"NM, NW"
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Corophium type","A. spinicorne",2.70,,4.3e-04,,2.30,"F",
40,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E40","Unid amphipod","Unid juvenile",1.90,"S",,,,,"NM"
41,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E41","Gammarus type","Gammarus spp.",3.70,"S",,,,,"NM, NW, eye NM, back 1/3 only, probably G. lacustris"
42,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E42","Corophium type","A. spinicorne",3.20,,,,,,"NW, A2 NM"
44,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E44","Gammarus type","Unid Gammaroidea",3.20,"S",,,,,"NM, NW, eye NM, head only"
