PreyCategory,LifeStage,PreyCategoryDefinition,RoutinelyMeasured,Phylum,Class,Order,Family,Genus,Species,MeasuredWetWeight,CalculatedWetWeight,CarbonWeight,DryWeight,Reference,StartDate,EndDate,Comments
Corophium type,All,"Amphipods with the Corophium body type characterization, all size classes. Includes Americorophium spinicorne, A. stimpsoni, Sinocorophium alienense, and juvenile Corophium spp. Includes Monocorophium spp. and Grandidierella japonica as of July 2020, which were previously placed in the category ""Unid amphipod""",Y,Arthropoda,Malacostraca,Amphipoda,,,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Crab zoea,Larvae,Crab larvae,N,Arthropoda,Malacostraca,Decapoda,,,,29.6,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Crangon spp,All,"Crangon spp, all age classes",Y,Arthropoda,Malacostraca,Decapoda,Caridae,Crangon,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Cumaceans,All,"Cumaceans, all age classes and species. Stopped using this category July 2020 and separated out into Nippoleucon hinumensis, Other cumacean and Unid cumacean",Y,Arthropoda,Malacostraca,Cumacea,,,,330.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,2020,
Cyclopoid copepodid,Copepodid,Cyclopoid copepod juveniles which cannot be placed in any other taxonomic category,N,Arthropoda,Copepoda,Cyclopoida,,,,,13.7,0.75,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Daphnia spp,All,"Daphnia spp, all age classes. Includes D. pulex, D. rosea, D. ambigua, D. galeata mendotae, D. laevis, D. magna, D. middendorffiana, D. schodleri, D. catawba, and D. parvula",N,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,,50.4,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Debris,NA,"Debris found in the stomach which includes sand, silt, mud or other items of a non-biological nature. Presence/absence only. Weight not quantified",N,,,,,,,NA,,,,NA,2011,,
Deltamysis holmquistae,All,"Deltamysis holmquistae, all age classes",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Deltamysis,holmquistae,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Diacyclops spp,Adult,"Diacyclops spp adults. Added July 29 2020. Previously listed under the category ""Other cyclopoid""",N,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Diacyclops,,,32.3,,4.2,Converted from dry weight from Culver et al 1985. Biomass of freshwater crustacean zooplankton from length-weight regressions. Can. J. Fish. Aquat. Sci. 42:1380–1390,2020,,
Diaphanosoma spp,All,"Diaphanosoma spp, all age classes. Includes D. brachyurum, D. leuchtenbergianum",N,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,,28.3,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
