PreyCategory,LifeStage,PreyCategoryDefinition,RoutinelyMeasured,Phylum,Class,Order,Family,Genus,Species,MeasuredWetWeight,CalculatedWetWeight,CarbonWeight,DryWeight,Reference,StartDate,EndDate,Comments
Pseudodiaptomus spp,Adult,Pseudodiaptomus spp adults not identifiable to species,N,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae ,Pseudodiaptomus,,19.4,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Sinocalanus copepodid,Copepodid,Sinocalanus spp juveniles,N,Arthropoda,Copepoda,Calanoida,Centropagidae ,Sinocalanus,,23.6,,,,"From S. doerrii; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Sinocalanus nauplii,Nauplii,Sinocalanus spp nauplii,N,Arthropoda,Copepoda,Calanoida,Centropagidae ,Sinocalanus,,2.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Sinocalanus spp,Adult,Sinocalanus spp adults,N,Arthropoda,Copepoda,Calanoida,Centropagidae ,Sinocalanus,,70.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Stomach/Gut Tissue,NA,Tissue from the stomach or intestine of the fish being examined for gut contents. Not included in analysis of food. Presence/absence only. Weight not quantified,N,,,,,,,NA,,,,NA,2011,,
Striped Bass,All,"Striped Bass, all age classes",Y,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Synchaeta,All,"Synchaeta spp, not including S. bicornis, all age classes",N,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,,3.6,,,,"From Other rotifer; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Synchaeta bicornis,All,"Synchaeta bicornis, all age classes",N,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,bicornis,3.6,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Terrestrial invertebrates,All,"All terrestrial invertebrates including ants, flies, spiders, etc",Y,Arthropoda,,,,,,236.6,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Tortanus copepodid,Copepodid,Tortanus spp juveniles,N,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,,30.1,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Tortanus dextrilobatus,Adult,Tortanus dextrilobatus adults,N,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,dextrilobatus,219.6,,,,"From Tortanus spp; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Tortanus discaudatus,Adult,Tortanus discaudatus adults,N,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,discaudatus,219.6,,,,"From Tortanus spp; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Tortanus spp,Adult,Tortanus spp adults that cannot be identified to species,N,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,,219.6,,,,"From Tortanus spp; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Trichocerca,All,"Trichocerca spp, all age classes",N,Rotifera,Monogononta,Ploima,Trichocercidae,Trichocerca,,2.3,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Tridentiger spp,All,"Tridentiger spp, all age classes",Y,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Unid amphipod,All,"Amphipods that are unable to be identified to either Gammarus or Corophium types. This can be due to heavy digestion, or specimens that are not easily classified under the Gammarus or Corophium body type classifications. Added Nov 9 2011",Y,Arthropoda,Malacostraca,Amphipoda,,,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Unid animal material,NA,"Any heavily digested fish or invertebrate material that cannot be assigned to the other categories, includes fish scales and worm goo coating intestines. Presence/absence only. Weight not quantified",N,,,,,,,NA,,,,NA,2011,,
Unid calanoid,Adult,Adult calanoid copepods that are unable to be identified,N,Arthropoda,Copepoda,Calanoida,,,,27.6,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Unid cladocera,All,All age classes of cladocerans that are unable to be identified,N,Arthropoda,Branchiopoda,Cladocera,,,,22.5,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Unid copepod,All,Copepods too heavily digested to assign to other categories,N,Arthropoda,Copepoda,,,,,24.7,,,,"Average of Unid Calanoid and Unid Cyclopoid; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,"March 4, 2014 corrected mean weight 29.7 -> 24.7"
Unid cumacean,All,"Unidentifiable cumaceans. Category added July 29 2020. Previously included in the ""Cumaceans"" category",Y,Arthropoda,Malacostraca,Cumacea,,,,330.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2020,,
Unid cyclopoid,Adult,Adult cyclopoid copepods that are unable to be identified ,N,Arthropoda,Copepoda,Cyclopoida,,,,21.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Unid fish,All,Any parts identifiable as fish of any species not otherwise listed,Y,Chordata,,,,,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Unid mysids,All,All juvenile and adult mysids too heavily digested to be assigned to the other mysid categories,Y,Arthropoda,Malacostraca,Mysida ,Mysidae,,,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Unid plant material,NA,Unidentified plant material (e.g. plant stem). Presence/absence only. Weight not quantified,N,,,,,,,NA,,,,NA,2011,,
Unid rotifer,All,Unidentifiable rotifers,N,Rotifera,Monogononta,Ploima,,,,3.6,,,,"From Other Rotifer; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Worm pieces,All,Worm pieces. Presence/absence only. Weight not quantified. Worm goo coating intestine classified as Unid animal material,N,,,,,,,NA,,,,NA,2011,,
